,precision,recall,f1-score,support,batch_size,model
6,0.3284671532846715,0.20930232558139536,0.25568181818181823,215.0,8,roberta
weighted avg,0.6654895152457934,0.6547298695922169,0.64156771918701,4831.0,8,roberta
0,0.772877618522602,0.8032849503437739,0.787787975276269,2618.0,8,roberta
1,0.5707178393745558,0.6028528528528528,0.5863453815261044,1332.0,8,roberta
2,1.0,0.0189873417721519,0.03726708074534161,158.0,8,roberta
3,0.373015873015873,0.4351851851851852,0.4017094017094017,324.0,8,roberta
4,0.6,0.19230769230769232,0.29126213592233013,78.0,8,roberta
5,0.33125,0.5,0.39849624060150374,106.0,8,roberta
6,0.3284671532846715,0.20930232558139536,0.25568181818181823,215.0,8,roberta
weighted avg,0.6654895152457934,0.6547298695922169,0.64156771918701,4831.0,8,roberta
0,0.3333333333333333,0.0056179775280898875,0.011049723756906077,356.0,8,roberta
1,0.37230419977298523,0.9939393939393939,0.541701073492981,330.0,8,roberta
2,0.0,0.0,0.0,25.0,8,roberta
3,0.0,0.0,0.0,82.0,8,roberta
4,0.0,0.0,0.0,22.0,8,roberta
5,0.0,0.0,0.0,28.0,8,roberta
6,1.0,0.022222222222222223,0.04347826086956522,45.0,8,roberta
weighted avg,0.32266559976548626,0.37274774774774777,0.20794096582125307,888.0,8,roberta
0,0.656,0.6910112359550562,0.6730506155950753,356.0,8,roberta
1,0.5666666666666667,0.7212121212121212,0.6346666666666666,330.0,8,roberta
2,0.0,0.0,0.0,25.0,8,roberta
3,0.6136363636363636,0.32926829268292684,0.4285714285714286,82.0,8,roberta
4,0.8333333333333334,0.22727272727272727,0.35714285714285715,22.0,8,roberta
5,0.3142857142857143,0.39285714285714285,0.34920634920634924,28.0,8,roberta
6,0.25,0.044444444444444446,0.07547169811320754,45.0,8,roberta
weighted avg,0.5734656702156702,0.5957207207207207,0.5689414677305392,888.0,8,roberta
0,0.8241206030150754,0.4606741573033708,0.5909909909909911,356.0,8,roberta
1,0.5386266094420601,0.7606060606060606,0.6306532663316583,330.0,8,roberta
2,0.0,0.0,0.0,25.0,8,roberta
3,0.3858267716535433,0.5975609756097561,0.4688995215311004,82.0,8,roberta
4,0.5,0.09090909090909091,0.15384615384615385,22.0,8,roberta
5,0.26666666666666666,0.42857142857142855,0.3287671232876712,28.0,8,roberta
6,0.2978723404255319,0.3111111111111111,0.3043478260869565,45.0,8,roberta
weighted avg,0.6020748119939784,0.5540540540540541,0.5441935568224927,888.0,8,roberta
0,0.72,0.6573033707865169,0.6872246696035242,356.0,8,roberta
1,0.5935960591133005,0.7303030303030303,0.6548913043478262,330.0,8,roberta
2,0.0,0.0,0.0,25.0,8,roberta
3,0.5138888888888888,0.45121951219512196,0.4805194805194805,82.0,8,roberta
4,1.0,0.13636363636363635,0.24000000000000002,22.0,8,roberta
5,0.2857142857142857,0.35714285714285715,0.3174603174603175,28.0,8,roberta
6,0.2553191489361702,0.26666666666666666,0.26086956521739124,45.0,8,roberta
weighted avg,0.6034177365973037,0.6047297297297297,0.5924287494818763,888.0,8,roberta
0,0.813953488372093,0.42813455657492355,0.561122244488978,1308.0,8,roberta
1,0.5540540540540541,0.8003003003003003,0.6547911547911548,1332.0,8,roberta
2,0.0,0.0,0.0,158.0,8,roberta
3,0.40444444444444444,0.5617283950617284,0.47028423772609823,324.0,8,roberta
4,0.6666666666666666,0.1282051282051282,0.2150537634408602,78.0,8,roberta
5,0.25443786982248523,0.4056603773584906,0.31272727272727274,106.0,8,roberta
6,0.29818181818181816,0.3813953488372093,0.3346938775510204,215.0,8,roberta
weighted avg,0.5898241033515967,0.5518318659471741,0.5340483598771952,3521.0,8,roberta
